design,model,P,gamma,APS,CH
CCD2,Main,0.75,0.95,0.9633,0.9721
CCD2,Main,0.9,0.95,0.9654,0.9678
CCD2,Main,0.95,0.95,0.9652,0.9658
CCD2,Quadratic,0.75,0.95,0.9802,0.9853
CCD2,Quadratic,0.9,0.95,0.9781,0.98
CCD2,Quadratic,0.95,0.95,0.9771,0.9778
CCD2,Intr,0.75,0.95,0.969,0.9768
CCD2,Intr,0.9,0.95,0.9689,0.9727
CCD2,Intr,0.95,0.95,0.9689,0.9715
CCD2,Full,0.75,0.95,0.9844,0.986
CCD2,Full,0.9,0.95,0.9817,0.9831
CCD2,Full,0.95,0.95,0.98,0.9815
CCD2,Main,0.75,0.9,0.9172,0.9397
CCD2,Main,0.9,0.9,0.9212,0.93
CCD2,Main,0.95,0.9,0.9218,0.9274
CCD2,Quadratic,0.75,0.9,0.9562,0.9666
CCD2,Quadratic,0.9,0.9,0.9521,0.9567
CCD2,Quadratic,0.95,0.9,0.9491,0.9517
CCD2,Intr,0.75,0.9,0.9314,0.9492
CCD2,Intr,0.9,0.9,0.9323,0.9399
CCD2,Intr,0.95,0.9,0.9309,0.9378
CCD2,Full,0.75,0.9,0.964,0.9726
CCD2,Full,0.9,0.9,0.9581,0.9628
CCD2,Full,0.95,0.9,0.954,0.9586
CCD2,Main,0.75,0.8,0.817,0.863
CCD2,Main,0.9,0.8,0.8203,0.8487
CCD2,Main,0.95,0.8,0.822,0.8442
CCD2,Quadratic,0.75,0.8,0.8993,0.9257
CCD2,Quadratic,0.9,0.8,0.8889,0.9025
CCD2,Quadratic,0.95,0.8,0.8841,0.8925
CCD2,Intr,0.75,0.8,0.841,0.8843
CCD2,Intr,0.9,0.8,0.8403,0.8682
CCD2,Intr,0.95,0.8,0.8417,0.8636
CCD2,Full,0.75,0.8,0.9137,0.9298
CCD2,Full,0.9,0.8,0.9026,0.9124
CCD2,Full,0.95,0.8,0.896,0.9051